layer,head,held_out_adjacent4_enrichment,fully_fogged_adjacent4_enrichment,difference
0,0,0.6484740620277017,0.4152421688680114,-0.23323189315969034
0,1,0.7865275611065987,0.8010153796608461,0.014487818554247411
0,2,3.1501687359630677,5.539740658413596,2.389571922450528
0,3,1.0129006665430853,1.0244521830375037,0.011551516494418435
0,4,3.436963169258364,3.7017945206265317,0.2648313513681675
0,5,1.1750326785650145,1.1567124514711806,-0.018320227093833852
0,6,0.8016500914011775,0.8185902124559398,0.01694012105476228
0,7,0.7199225251087689,0.5806216985789275,-0.13930082652984133
1,0,1.0363257696564558,1.016306684801703,-0.02001908485475279
1,1,3.5854683199600235,3.2286780546261657,-0.3567902653338577
1,2,2.438032085133388,2.171412721600125,-0.266619363533263
1,3,0.9167550718664244,0.8077579497686874,-0.10899712209773693
1,4,3.175469841648505,2.6990207351865507,-0.4764491064619545
1,5,1.7065789512740852,1.3781421867146195,-0.3284367645594657
1,6,0.6657228461868769,0.5631052222747005,-0.10261762391217644
1,7,1.575612064869518,1.338695545856344,-0.2369165190131739
2,0,1.0718608505828764,1.0327470573811475,-0.03911379320172892
2,1,1.0538423359411029,0.8552632180576137,-0.19857911788348914
2,2,0.9123600841303595,0.8259486157545655,-0.08641146837579405
2,3,1.057330279600384,1.014356319949117,-0.042973959651267046
2,4,1.055463584355847,1.0140724054974057,-0.041391178858441346
2,5,1.1663056733324122,1.0028130568295377,-0.1634926165028745
2,6,2.458094512567816,1.979610286809656,-0.4784842257581603
2,7,1.0816314793641728,0.960690521167077,-0.12094095819709583
