turn,causal_score_effect_pts,critic_value_delta
189,18.750000,-1.030404
128,28.125000,-0.820051
180,65.625000,-0.547697
192,12.500000,-0.698410
131,-25.000000,-0.596788
186,-50.000000,-0.990544
184,-62.500000,-0.729152
132,0.000000,-0.848288
175,37.500000,-0.855970
127,56.250000,-0.462466
130,0.000000,-1.196990
179,68.750000,-0.655150
174,-12.500000,-0.496245
177,53.125000,-0.585349
188,-18.750000,-0.643965
180,-18.750000,-0.723210
173,-56.250000,-0.751447
189,-28.125000,-1.091497
128,6.250000,-1.063177
178,40.625000,-0.519107
190,-100.000000,-1.616904
174,25.000000,-0.940561
180,-31.250000,-1.003948
175,6.250000,-0.824552
193,-12.500000,-0.672728
134,-46.875000,-0.886939
189,-62.500000,-0.889874
180,-87.500000,-0.950499
179,-25.000000,-0.585677
182,12.500000,-0.598850
182,31.250000,-0.258484
196,-34.375000,-0.989854
184,-81.250000,-1.027477
131,12.500000,-0.899846
130,-31.250000,-0.786785
127,6.250000,-0.711283
132,50.000000,-0.858252
190,-81.250000,-1.164352
197,-15.625000,-0.709458
133,43.750000,-0.701395
184,-28.125000,-1.228098
183,-43.750000,-0.875559
137,25.000000,-0.786160
191,-93.750000,-1.009982
182,50.000000,-0.556556
131,31.250000,-0.634883
184,6.250000,-0.454353
182,0.000000,-0.727502
195,-43.750000,-0.814404
183,68.750000,-0.634628
179,-31.250000,-1.292989
180,-100.000000,-1.320893
127,40.625000,-0.646726
131,-53.125000,-0.817556
167,59.375000,-0.943315
185,-12.500000,-0.405419
176,15.625000,-0.750212
136,21.875000,-0.513925
178,-31.250000,-0.939394
184,-56.250000,-1.112879
128,18.750000,-1.046121
195,43.750000,-0.447362
127,-81.250000,-1.212024
182,-6.250000,-0.530748
132,40.625000,-0.965713
183,-68.750000,-1.093276
176,12.500000,-0.636058
133,-100.000000,-1.376662
190,-59.375000,-1.169338
191,-28.125000,-0.564076
189,-37.500000,-1.118023
180,-62.500000,-0.967410
