older_iteration,newer_iteration,newer_score_across_raw_ema_cells,newer_wins,newer_losses,draws,games
14000,15000,0.52587890625,2121.0,1909.0,66.0,4096.0
14000,16000,0.5262451171875,2115.0,1900.0,81.0,4096.0
14000,17000,0.54150390625,2183.0,1843.0,70.0,4096.0
14000,18000,0.5372314453125,2160.0,1855.0,81.0,4096.0
14000,19000,0.5615234375,2269.0,1765.0,62.0,4096.0
15000,16000,0.5047607421875,2024.0,1985.0,87.0,4096.0
15000,17000,0.5052490234375,2034.0,1991.0,71.0,4096.0
15000,18000,0.5147705078125,2071.0,1950.0,75.0,4096.0
15000,19000,0.534912109375,2167.0,1881.0,48.0,4096.0
16000,17000,0.51220703125,2049.0,1949.0,98.0,4096.0
16000,18000,0.5101318359375,2052.0,1969.0,75.0,4096.0
16000,19000,0.5355224609375,2165.0,1874.0,57.0,4096.0
17000,18000,0.509521484375,2045.0,1967.0,84.0,4096.0
17000,19000,0.5283203125,2132.0,1900.0,64.0,4096.0
18000,19000,0.5247802734375,2115.0,1912.0,69.0,4096.0
