experiment,a,b,wins,losses,draws,games,score,score_ci95_low,score_ci95_high,paired_score_std,evaluation_seconds,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum
14k_19k_league,c14000_raw,c14000_ema,455.0,557.0,12.0,1024.0,0.4501953125,0.4219397094110059,0.4784509155889941,0.3261996498080538,72.4263173751533,546860.0,94774.0,161406.0,3958.0,1024.0,3997.0,77716.0,546860.0,881.0,1016.0,881.0,14379.0,517869.0,512546.0,25033.0,345379.0,3958.0,-47234.0,-15522.0,546860.0,95339.0,166461.0,3952.0,1024.0,4178.0,78119.0,546860.0,874.0,1015.0,874.0,16109.0,517723.0,512324.0,25185.0,344265.0,3952.0,47234.0,15522.0
14k_19k_league,c14000_raw,c15000_raw,479.0,531.0,14.0,1024.0,0.474609375,0.4457597047079461,0.5034590452920539,0.3330579183429778,53.37724118120968,562951.0,99368.0,173442.0,4197.0,1024.0,4410.0,79250.0,562951.0,903.0,1016.0,903.0,14872.0,533781.0,528244.0,24973.0,355163.0,4197.0,-43350.0,-8246.0,562951.0,100406.0,166273.0,4312.0,1024.0,4969.0,78911.0,562951.0,899.0,1016.0,899.0,17649.0,533307.0,527477.0,25332.0,353990.0,4311.0,43350.0,8246.0
14k_19k_league,c14000_raw,c15000_ema,436.0,566.0,22.0,1024.0,0.4365234375,0.4075427339265886,0.4655041410734114,0.334570645229656,53.426071751862764,545593.0,93069.0,160339.0,4008.0,1024.0,3997.0,78616.0,545593.0,901.0,1015.0,901.0,14634.0,516520.0,511144.0,25065.0,344835.0,4008.0,-93634.0,-20846.0,545593.0,94658.0,163889.0,4000.0,1024.0,3842.0,78231.0,545593.0,894.0,1011.0,894.0,15944.0,516419.0,510996.0,25174.0,343530.0,4000.0,93634.0,20846.0
14k_19k_league,c14000_raw,c16000_raw,472.0,525.0,27.0,1024.0,0.47412109375,0.44544984199157234,0.5027923455084277,0.3309981476488314,53.463100627064705,528652.0,89121.0,160305.0,3820.0,1024.0,4130.0,77703.0,528652.0,880.0,1017.0,880.0,14266.0,499812.0,494620.0,25020.0,332988.0,3820.0,-44511.0,-9431.0,528652.0,87514.0,160918.0,3972.0,1024.0,5310.0,76423.0,528652.0,872.0,1012.0,871.0,16590.0,499527.0,494140.0,25153.0,335590.0,3971.0,44511.0,9431.0
14k_19k_league,c14000_raw,c16000_ema,439.0,563.0,22.0,1024.0,0.439453125,0.4118818417640003,0.4670244082359997,0.3182994504847412,53.50144756399095,533100.0,90551.0,152670.0,3871.0,1024.0,3774.0,77634.0,533100.0,884.0,1015.0,884.0,14216.0,504213.0,498991.0,25016.0,336028.0,3871.0,-71095.0,-18397.0,533100.0,90469.0,158364.0,3951.0,1024.0,4145.0,77920.0,533100.0,891.0,1013.0,891.0,16746.0,503989.0,498603.0,25160.0,335600.0,3951.0,71095.0,18397.0
14k_19k_league,c14000_raw,c17000_raw,469.0,531.0,24.0,1024.0,0.4697265625,0.4412640576066811,0.4981890673933189,0.3285882484836095,53.52015572041273,531932.0,91604.0,151096.0,4125.0,1024.0,3822.0,77260.0,531932.0,887.0,1014.0,887.0,14637.0,502806.0,497336.0,25001.0,333942.0,4125.0,-32246.0,-8810.0,531932.0,91841.0,156550.0,4133.0,1024.0,4135.0,78565.0,531932.0,904.0,1015.0,904.0,21565.0,502687.0,497168.0,25112.0,332281.0,4133.0,32246.0,8810.0
14k_19k_league,c14000_raw,c17000_ema,393.0,613.0,18.0,1024.0,0.392578125,0.3624435113861262,0.4227127386138738,0.34789207567031233,53.52416713535786,559401.0,95642.0,164409.0,3993.0,1024.0,4922.0,78093.0,559401.0,899.0,1009.0,899.0,14464.0,530412.0,525057.0,24996.0,356677.0,3993.0,-177862.0,-35128.0,559401.0,97890.0,170757.0,4059.0,1024.0,3868.0,78662.0,559401.0,906.0,1012.0,906.0,16858.0,530182.0,524730.0,25160.0,353630.0,4059.0,177862.0,35128.0
14k_19k_league,c14000_raw,c18000_raw,481.0,524.0,19.0,1024.0,0.47900390625,0.45011188458021634,0.5078959279197837,0.33354684807988116,53.500119622796774,554343.0,94519.0,167133.0,4097.0,1024.0,5502.0,78322.0,554343.0,875.0,1017.0,875.0,15399.0,525295.0,519883.0,24951.0,352454.0,4097.0,-85084.0,-8487.0,554343.0,95624.0,164303.0,4191.0,1024.0,6256.0,78626.0,554343.0,891.0,1013.0,891.0,15063.0,524616.0,518871.0,25536.0,350366.0,4191.0,85084.0,8487.0
14k_19k_league,c14000_raw,c18000_ema,407.0,594.0,23.0,1024.0,0.40869140625,0.38071233633503254,0.43667047616496746,0.32300718478638385,53.465175934135914,541511.0,92407.0,155744.0,3986.0,1024.0,4412.0,77038.0,541511.0,884.0,1015.0,884.0,14362.0,512564.0,507250.0,24961.0,343119.0,3986.0,-133813.0,-29253.0,541511.0,93091.0,163185.0,4024.0,1024.0,4144.0,79172.0,541511.0,897.0,1013.0,897.0,16548.0,512214.0,506717.0,25273.0,339951.0,4024.0,133813.0,29253.0
14k_19k_league,c14000_raw,c19000_raw,437.0,580.0,7.0,1024.0,0.43017578125,0.4010364110085526,0.4593151514914474,0.3364023885262521,53.48207431845367,577415.0,98922.0,180739.0,4257.0,1024.0,5475.0,78885.0,577415.0,915.0,1018.0,915.0,14536.0,548123.0,542507.0,25035.0,370316.0,4257.0,-132225.0,-24184.0,577415.0,99608.0,187896.0,4423.0,1024.0,4302.0,80729.0,577415.0,921.0,1015.0,921.0,21684.0,547546.0,541535.0,25446.0,367209.0,4423.0,132225.0,24184.0
