rank,name,iteration,policy,macro_score,wins,losses,draws,games
1,c19000_ema,19000,ema,0.5613014914772727,6230.0,4849.0,185.0,11264.0
2,c18000_ema,18000,ema,0.5507368607954546,6105.0,4962.0,197.0,11264.0
3,c17000_ema,17000,ema,0.5359996448863636,5933.0,5122.0,209.0,11264.0
4,c16000_ema,16000,ema,0.52734375,5846.0,5230.0,188.0,11264.0
5,c15000_ema,15000,ema,0.5115855823863636,5673.0,5412.0,179.0,11264.0
6,c19000_raw,19000,raw,0.5059925426136364,5626.0,5491.0,147.0,11264.0
7,c14000_ema,14000,ema,0.48930220170454547,5423.0,5664.0,177.0,11264.0
8,c15000_raw,15000,raw,0.47611860795454547,5263.0,5801.0,200.0,11264.0
9,c17000_raw,17000,raw,0.4716796875,5203.0,5841.0,220.0,11264.0
10,c18000_raw,18000,raw,0.46630859375,5136.0,5895.0,233.0,11264.0
11,c16000_raw,16000,raw,0.462890625,5086.0,5922.0,256.0,11264.0
12,c14000_raw,14000,raw,0.4407404119318182,4861.0,6196.0,207.0,11264.0
