policy,older_iteration,newer_iteration,newer_score,newer_wins,newer_losses,draws,games,newer_score_ci95_low,newer_score_ci95_high
raw,14000,15000,0.525390625,531.0,479.0,14.0,1024.0,0.4965409547079461,0.5542402952920539
raw,14000,16000,0.52587890625,525.0,472.0,27.0,1024.0,0.49720765449157234,0.5545501580084277
raw,14000,17000,0.5302734375,531.0,469.0,24.0,1024.0,0.5018109326066811,0.5587359423933189
raw,14000,18000,0.52099609375,524.0,481.0,19.0,1024.0,0.49210407208021634,0.5498881154197837
raw,14000,19000,0.56982421875,580.0,437.0,7.0,1024.0,0.5406848485085526,0.5989635889914474
raw,15000,16000,0.46826171875,466.0,531.0,27.0,1024.0,0.43893924259349626,0.49758419490650374
raw,15000,17000,0.49365234375,495.0,508.0,21.0,1024.0,0.46499457302888814,0.522310114471112
raw,15000,18000,0.47216796875,468.0,525.0,31.0,1024.0,0.4438965743559481,0.5004393631440518
raw,15000,19000,0.52978515625,535.0,474.0,15.0,1024.0,0.5017238579486589,0.5578464545513411
raw,16000,17000,0.521484375,521.0,477.0,26.0,1024.0,0.49309071207927324,0.5498780379207268
raw,16000,18000,0.494140625,491.0,503.0,30.0,1024.0,0.4649595084484186,0.5233217415515814
raw,16000,19000,0.533203125,536.0,468.0,20.0,1024.0,0.5051542924494639,0.5612519575505361
raw,17000,18000,0.4990234375,501.0,503.0,20.0,1024.0,0.47021707985495,0.5278297951450501
raw,17000,19000,0.5185546875,521.0,483.0,20.0,1024.0,0.4895078882822038,0.5476014867177962
raw,18000,19000,0.53271484375,539.0,472.0,13.0,1024.0,0.5048418546584763,0.5605878328415237
ema,14000,15000,0.5185546875,522.0,484.0,18.0,1024.0,0.48979307697888885,0.5473162980211111
ema,14000,16000,0.53857421875,544.0,465.0,15.0,1024.0,0.5107246003052197,0.5664238371947803
ema,14000,17000,0.55322265625,560.0,451.0,13.0,1024.0,0.5241661584482563,0.5822791540517437
ema,14000,18000,0.556640625,561.0,445.0,18.0,1024.0,0.5294414207069722,0.5838398292930278
ema,14000,19000,0.552734375,556.0,448.0,20.0,1024.0,0.5243568455413667,0.5811119044586333
ema,15000,16000,0.521484375,524.0,480.0,20.0,1024.0,0.49302627064175775,0.5499424793582423
ema,15000,17000,0.5244140625,528.0,478.0,18.0,1024.0,0.49732623735113146,0.5515018876488685
ema,15000,18000,0.521484375,526.0,482.0,16.0,1024.0,0.4923268078193984,0.5506419421806015
ema,15000,19000,0.54052734375,548.0,465.0,11.0,1024.0,0.5115379072645019,0.5695167802354981
ema,16000,17000,0.505859375,504.0,492.0,28.0,1024.0,0.47757074336974115,0.5341480066302589
ema,16000,18000,0.5126953125,518.0,492.0,14.0,1024.0,0.4830322891963146,0.5423583358036854
ema,16000,19000,0.53857421875,547.0,468.0,9.0,1024.0,0.5095963846731949,0.5675520528268051
ema,17000,18000,0.52490234375,531.0,480.0,13.0,1024.0,0.4974984784080847,0.5523062090919153
ema,17000,19000,0.53955078125,544.0,463.0,17.0,1024.0,0.5114169023961115,0.5676846601038885
ema,18000,19000,0.50390625,506.0,498.0,20.0,1024.0,0.47581000693497855,0.5320024930650216
