experiment,temperature_a,temperature_b,a,b,wins,losses,draws,games,score,score_ci95_low,score_ci95_high,paired_score_std,evaluation_seconds,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum
broad,0.0,0.1,c26000_ema_greedy,c26000_ema_t0.1,538.0,465.0,21.0,1024.0,0.53564453125,0.5092160512769326,0.5620730112230674,0.30510624335361364,73.73117196187377,560925.0,92084.0,178035.0,4966.0,1024.0,3710.0,79280.0,560925.0,929.0,1017.0,929.0,18645.0,530815.0,524402.0,25144.0,359451.0,4966.0,55267.0,10886.0,560925.0,91354.0,176906.0,4911.0,1024.0,4005.0,79263.0,560925.0,935.0,1017.0,935.0,18818.0,530900.0,524555.0,25114.0,360283.0,4911.0,-55267.0,-10886.0
broad,0.0,0.25,c26000_ema_greedy,c26000_ema_t0.25,517.0,492.0,15.0,1024.0,0.51220703125,0.4850405016173988,0.5393735608826011,0.3136267318288584,52.13701110333204,566841.0,94161.0,182460.0,4970.0,1024.0,3737.0,79356.0,566841.0,935.0,1016.0,935.0,18599.0,536701.0,530271.0,25170.0,363184.0,4970.0,19257.0,4416.0,566841.0,93483.0,181723.0,4905.0,1024.0,3752.0,79125.0,566841.0,937.0,1014.0,937.0,18698.0,536835.0,530487.0,25101.0,364227.0,4905.0,-19257.0,-4416.0
broad,0.0,0.5,c26000_ema_greedy,c26000_ema_t0.5,511.0,494.0,19.0,1024.0,0.50830078125,0.4822942515120724,0.5343073109879276,0.3002349964541749,52.12071676924825,564739.0,92738.0,182445.0,4938.0,1024.0,4121.0,78823.0,564739.0,927.0,1016.0,927.0,18417.0,534629.0,528224.0,25172.0,363068.0,4938.0,-4459.0,2793.0,564739.0,92660.0,180270.0,4937.0,1024.0,3549.0,79520.0,564739.0,932.0,1018.0,932.0,18856.0,534616.0,528202.0,25186.0,362436.0,4936.0,4459.0,-2793.0
broad,0.0,1.0,c26000_ema_greedy,c26000_ema_t1,539.0,467.0,18.0,1024.0,0.53515625,0.5070926246989633,0.5632198753010367,0.3239833429394514,52.15699441730976,566960.0,92635.0,183786.0,4868.0,1024.0,3739.0,79619.0,566960.0,941.0,1016.0,941.0,18799.0,536912.0,530581.0,25180.0,364658.0,4868.0,59924.0,12763.0,566960.0,91559.0,182456.0,4849.0,1024.0,3547.0,80199.0,566960.0,940.0,1017.0,940.0,20555.0,536936.0,530608.0,25175.0,365178.0,4849.0,-59924.0,-12763.0
broad,0.1,0.25,c26000_ema_t0.1,c26000_ema_t0.25,507.0,491.0,26.0,1024.0,0.5078125,0.48044910408517105,0.535175895914829,0.315899474410903,65.45941564440727,565770.0,93153.0,180665.0,4869.0,1024.0,3538.0,79313.0,565770.0,942.0,1017.0,942.0,18551.0,535747.0,529422.0,25154.0,363281.0,4869.0,16635.0,1786.0,565770.0,92525.0,181946.0,4891.0,1024.0,3736.0,78956.0,565770.0,940.0,1017.0,940.0,18754.0,535725.0,529380.0,25154.0,364244.0,4891.0,-16635.0,-1786.0
broad,0.1,0.5,c26000_ema_t0.1,c26000_ema_t0.5,505.0,495.0,24.0,1024.0,0.5048828125,0.4768856865041506,0.5328799384958494,0.3232156350269272,52.13067412376404,563848.0,93127.0,181214.0,4959.0,1024.0,3765.0,79478.0,563848.0,933.0,1018.0,933.0,18661.0,533711.0,527285.0,25178.0,361106.0,4959.0,5786.0,2184.0,563848.0,92377.0,178978.0,4949.0,1024.0,3609.0,79713.0,563848.0,930.0,1018.0,930.0,19193.0,533751.0,527338.0,25148.0,361661.0,4949.0,-5786.0,-2184.0
broad,0.1,1.0,c26000_ema_t0.1,c26000_ema_t1,543.0,460.0,21.0,1024.0,0.54052734375,0.5122091639673507,0.5688455235326493,0.3269220727374872,52.129404816776514,555765.0,90673.0,178004.0,4947.0,1024.0,3517.0,79036.0,555765.0,926.0,1018.0,926.0,18669.0,525677.0,519288.0,25141.0,355968.0,4947.0,58041.0,12455.0,555765.0,89822.0,175891.0,4840.0,1024.0,3351.0,79609.0,555765.0,929.0,1015.0,929.0,20279.0,525712.0,519382.0,25213.0,356281.0,4840.0,-58041.0,-12455.0
broad,0.25,0.5,c26000_ema_t0.25,c26000_ema_t0.5,503.0,502.0,19.0,1024.0,0.50048828125,0.4721143134059343,0.5288622490940657,0.3275661236197209,52.119469344615936,565617.0,92748.0,179256.0,4759.0,1024.0,3809.0,78911.0,565617.0,929.0,1017.0,929.0,18724.0,535664.0,529418.0,25194.0,364005.0,4759.0,19366.0,1355.0,565617.0,92179.0,179954.0,4768.0,1024.0,3792.0,79071.0,565617.0,923.0,1019.0,923.0,18877.0,535643.0,529388.0,25206.0,364393.0,4768.0,-19366.0,-1355.0
broad,0.25,1.0,c26000_ema_t0.25,c26000_ema_t1,538.0,472.0,14.0,1024.0,0.5322265625,0.5043986317282225,0.5600544932717775,0.3212623437569579,52.10254139453173,565773.0,92789.0,184273.0,4868.0,1024.0,3641.0,79356.0,565773.0,945.0,1021.0,945.0,19040.0,535696.0,529355.0,25209.0,363551.0,4868.0,38151.0,10900.0,565773.0,91812.0,181419.0,4844.0,1024.0,3454.0,79945.0,565773.0,942.0,1019.0,942.0,20598.0,535730.0,529409.0,25199.0,363973.0,4844.0,-38151.0,-10900.0
broad,0.5,1.0,c26000_ema_t0.5,c26000_ema_t1,530.0,478.0,16.0,1024.0,0.525390625,0.4971830528153894,0.5535981971846107,0.3256451522048525,52.10559447109699,560415.0,91417.0,180627.0,5018.0,1024.0,3568.0,79209.0,560415.0,932.0,1018.0,932.0,19144.0,530132.0,523608.0,25265.0,359506.0,5018.0,26546.0,8155.0,560415.0,91513.0,176588.0,4926.0,1024.0,3369.0,79637.0,560415.0,925.0,1016.0,925.0,20097.0,530307.0,523919.0,25182.0,359157.0,4926.0,-26546.0,-8155.0
