match_index,a,b,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum,draws,evaluation_seconds,games,losses,paired_score_std,score,score_ci95,wins
0,c14000_greedy,c14000_t0.25,525791.0,87903.0,148272.0,3914.0,1024.0,3998.0,77226.0,525791.0,892.0,1011.0,892.0,14336.0,496784.0,491481.0,25093.0,331655.0,3914.0,-12830.0,-2672.0,525791.0,88371.0,151159.0,3884.0,1024.0,3529.0,77433.0,525791.0,882.0,1012.0,882.0,14740.0,496853.0,491582.0,25054.0,331049.0,3884.0,12830.0,2672.0,22.0,55.299108400940895,1024.0,506.0,0.3280886654962046,0.4951171875,"[0.46669795677515563, 0.5235364182248443]",496.0
1,c14000_greedy,c14000_t0.5,514607.0,86538.0,144843.0,3713.0,1024.0,4447.0,76680.0,514607.0,870.0,1012.0,870.0,13811.0,485756.0,480641.0,25138.0,322538.0,3713.0,3201.0,-2915.0,514607.0,86663.0,147170.0,3711.0,1024.0,3280.0,76747.0,514607.0,872.0,1015.0,872.0,15179.0,485853.0,480755.0,25043.0,322443.0,3711.0,-3201.0,2915.0,23.0,52.130008324980736,1024.0,513.0,0.33215150940146637,0.48779296875,"[0.4590218121268073, 0.5165641253731927]",488.0
2,c14000_greedy,c14000_t0.75,531879.0,90620.0,152946.0,3886.0,1024.0,3921.0,77623.0,531879.0,877.0,1017.0,877.0,14082.0,502866.0,497595.0,25127.0,334623.0,3886.0,37626.0,5999.0,531879.0,90451.0,150524.0,3905.0,1024.0,3276.0,78155.0,531879.0,871.0,1018.0,871.0,16276.0,502908.0,497606.0,25066.0,334302.0,3904.0,-37626.0,-5999.0,19.0,52.185570385307074,1024.0,484.0,0.3300402009830276,0.51806640625,"[0.48947813238803944, 0.5466546801119605]",521.0
3,c14000_greedy,c14000_t1,517306.0,88027.0,151096.0,3768.0,1024.0,3870.0,77195.0,517306.0,868.0,1017.0,868.0,14069.0,488466.0,483307.0,25072.0,323244.0,3768.0,56036.0,7944.0,517306.0,87711.0,146808.0,3748.0,1024.0,3044.0,77682.0,517306.0,873.0,1015.0,873.0,17280.0,488461.0,483285.0,25097.0,323068.0,3748.0,-56036.0,-7944.0,14.0,52.1890683285892,1024.0,487.0,0.3364764473214913,0.517578125,"[0.4884323397427034, 0.5467239102572966]",523.0
4,c14000_t0.25,c14000_t0.5,523459.0,88251.0,150634.0,3645.0,1024.0,4112.0,77302.0,523459.0,893.0,1017.0,893.0,14920.0,494710.0,489648.0,25104.0,329157.0,3645.0,18358.0,1882.0,523459.0,88435.0,150554.0,3712.0,1024.0,3336.0,77289.0,523459.0,885.0,1017.0,885.0,15453.0,494668.0,489547.0,25079.0,328944.0,3712.0,-18358.0,-1882.0,15.0,53.64608668908477,1024.0,500.0,0.3256682092055558,0.50439453125,"[0.47618496185459935, 0.5326041006454006]",509.0
5,c14000_t0.25,c14000_t0.75,526032.0,89666.0,153690.0,3831.0,1024.0,3736.0,77190.0,526032.0,870.0,1014.0,870.0,14728.0,497103.0,491875.0,25098.0,330247.0,3831.0,-7126.0,525.0,526032.0,89727.0,154363.0,3865.0,1024.0,3514.0,77822.0,526032.0,868.0,1012.0,868.0,15886.0,497118.0,491876.0,25049.0,329569.0,3865.0,7126.0,-525.0,22.0,52.00359778478742,1024.0,495.0,0.32992783925154384,0.505859375,"[0.4772808339764685, 0.5344379160235315]",507.0
6,c14000_t0.25,c14000_t1,532118.0,91281.0,158799.0,3916.0,1024.0,3916.0,77411.0,532118.0,883.0,1008.0,883.0,14458.0,503129.0,497818.0,25073.0,334437.0,3916.0,64089.0,13352.0,532118.0,91223.0,153223.0,3906.0,1024.0,3576.0,78080.0,532118.0,882.0,1011.0,882.0,16993.0,503163.0,497851.0,25049.0,333860.0,3906.0,-64089.0,-13352.0,24.0,52.14398816600442,1024.0,455.0,0.3206323999194033,0.5439453125,"[0.5161719478292369, 0.5717186771707631]",545.0
7,c14000_t0.5,c14000_t0.75,522558.0,88510.0,151576.0,3872.0,1024.0,3487.0,77542.0,522558.0,876.0,1009.0,876.0,15367.0,493627.0,488367.0,25059.0,327575.0,3872.0,13851.0,3948.0,522558.0,88003.0,149983.0,3872.0,1024.0,3528.0,77742.0,522558.0,882.0,1009.0,882.0,15745.0,493654.0,488416.0,25032.0,327909.0,3872.0,-13851.0,-3948.0,19.0,52.15140746161342,1024.0,483.0,0.3321974386268378,0.51904296875,"[0.49026783371063476, 0.5478181037893652]",522.0
8,c14000_t0.5,c14000_t1,525472.0,89553.0,156924.0,3820.0,1024.0,3595.0,77490.0,525472.0,865.0,1013.0,865.0,15043.0,496562.0,491350.0,25090.0,329519.0,3820.0,91887.0,17597.0,525472.0,88165.0,151059.0,3840.0,1024.0,3195.0,77934.0,525472.0,863.0,1007.0,863.0,17307.0,496550.0,491316.0,25082.0,330451.0,3840.0,-91887.0,-17597.0,18.0,52.18481724336743,1024.0,450.0,0.3129010440629497,0.5517578125,"[0.5246541423630854, 0.5788614826369146]",556.0
9,c14000_t0.75,c14000_t1,526633.0,90130.0,153459.0,3940.0,1024.0,3159.0,77911.0,526633.0,885.0,1006.0,885.0,16385.0,497616.0,492286.0,25077.0,329575.0,3940.0,12977.0,3352.0,526633.0,89046.0,153693.0,3896.0,1024.0,3338.0,78797.0,526633.0,876.0,1005.0,876.0,16940.0,497720.0,492448.0,25017.0,329877.0,3896.0,-12977.0,-3352.0,8.0,52.17672384530306,1024.0,502.0,0.31244506001665967,0.505859375,"[0.4787952024659628, 0.5329235475340371]",514.0
