match_index,a,b,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum,draws,evaluation_seconds,games,losses,paired_score_std,score,score_ci95,wins
0,c14000_t0.25,c14000_t0.3,537749.0,91487.0,156670.0,4032.0,1024.0,4004.0,78234.0,537749.0,902.0,1013.0,902.0,14775.0,508619.0,503186.0,25098.0,338898.0,4032.0,6584.0,3703.0,537749.0,91402.0,157649.0,3996.0,1024.0,4046.0,78255.0,537749.0,897.0,1014.0,897.0,14880.0,508663.0,503265.0,25090.0,339006.0,3996.0,-6584.0,-3703.0,15.0,55.42977640032768,1024.0,494.0,0.3303752203313002,0.51025390625,"[0.4816366128175479, 0.5388711996824521]",515.0
1,c14000_t0.25,c14000_t0.35,533698.0,91291.0,155817.0,3932.0,1024.0,4595.0,77863.0,533698.0,889.0,1017.0,889.0,14608.0,504723.0,499416.0,25043.0,335569.0,3932.0,33829.0,4253.0,533698.0,90937.0,157213.0,3904.0,1024.0,4272.0,78640.0,533698.0,880.0,1016.0,880.0,15521.0,504638.0,499336.0,25156.0,335061.0,3904.0,-33829.0,-4253.0,21.0,52.00313846766949,1024.0,488.0,0.3201364074524592,0.51318359375,"[0.48545319223474415, 0.5409139952652559]",515.0
2,c14000_t0.25,c14000_t0.4,537042.0,92877.0,156923.0,4018.0,1024.0,4167.0,78104.0,537042.0,886.0,1010.0,886.0,14916.0,507975.0,502576.0,25049.0,336994.0,4018.0,45598.0,7095.0,537042.0,92803.0,156774.0,4027.0,1024.0,4375.0,78388.0,537042.0,880.0,1014.0,880.0,15337.0,507945.0,502545.0,25070.0,336754.0,4027.0,-45598.0,-7095.0,20.0,52.012823566794395,1024.0,483.0,0.31077249997149753,0.5185546875,"[0.4916353930883226, 0.5454739819116774]",521.0
3,c14000_t0.25,c14000_t0.45,529667.0,90274.0,153981.0,4013.0,1024.0,3917.0,78371.0,529667.0,900.0,1013.0,900.0,14882.0,500543.0,495113.0,25111.0,331898.0,4013.0,59673.0,8203.0,529667.0,89653.0,152899.0,3996.0,1024.0,4057.0,77964.0,529667.0,891.0,1012.0,891.0,15364.0,500555.0,495154.0,25116.0,332938.0,3996.0,-59673.0,-8203.0,9.0,51.99416230246425,1024.0,486.0,0.32238064517374376,0.52099609375,"[0.49307129506010805, 0.548920892439892]",529.0
4,c14000_t0.25,c14000_t0.5,531321.0,90841.0,159950.0,3915.0,1024.0,3938.0,78333.0,531321.0,885.0,1015.0,885.0,14636.0,502292.0,496968.0,25114.0,333118.0,3914.0,56345.0,7525.0,531321.0,90854.0,158363.0,3887.0,1024.0,3519.0,77902.0,531321.0,874.0,1014.0,874.0,15713.0,502346.0,497067.0,25088.0,333590.0,3887.0,-56345.0,-7525.0,19.0,51.997383669018745,1024.0,484.0,0.3266944486741202,0.51806640625,"[0.4897679433958998, 0.5463648691041002]",521.0
5,c14000_t0.3,c14000_t0.35,531995.0,90904.0,154031.0,3938.0,1024.0,4005.0,77872.0,531995.0,897.0,1012.0,897.0,15021.0,502960.0,497610.0,25097.0,334184.0,3938.0,26265.0,3559.0,531995.0,90594.0,155260.0,3887.0,1024.0,3996.0,77780.0,531995.0,895.0,1012.0,895.0,14711.0,503014.0,497735.0,25094.0,334640.0,3887.0,-26265.0,-3559.0,18.0,52.14770597591996,1024.0,491.0,0.3256744431203345,0.51171875,"[0.4835086406192812, 0.5399288593807188]",515.0
6,c14000_t0.3,c14000_t0.4,524802.0,88746.0,152846.0,3937.0,1024.0,3729.0,77996.0,524802.0,870.0,1010.0,870.0,14684.0,495801.0,490492.0,25064.0,329059.0,3937.0,3549.0,914.0,524802.0,89405.0,152788.0,3921.0,1024.0,3870.0,77821.0,524802.0,871.0,1016.0,871.0,15012.0,495800.0,490481.0,25081.0,328574.0,3921.0,-3549.0,-914.0,14.0,52.146625362336636,1024.0,507.0,0.3175315102280904,0.498046875,"[0.4705421111949707, 0.5255516388050293]",503.0
7,c14000_t0.3,c14000_t0.45,527347.0,89806.0,152693.0,4064.0,1024.0,4737.0,77840.0,527347.0,892.0,1016.0,892.0,14655.0,498180.0,492723.0,25103.0,330534.0,4064.0,47223.0,7019.0,527347.0,88781.0,151773.0,4047.0,1024.0,3839.0,78499.0,527347.0,886.0,1012.0,886.0,15769.0,498195.0,492748.0,25105.0,330915.0,4047.0,-47223.0,-7019.0,15.0,52.12831087037921,1024.0,482.0,0.32344974665212206,0.52197265625,"[0.4939552513692287, 0.5499900611307713]",527.0
8,c14000_t0.3,c14000_t0.5,531904.0,90701.0,153629.0,4044.0,1024.0,3967.0,78185.0,531904.0,894.0,1011.0,894.0,14864.0,502702.0,497225.0,25158.0,333816.0,4044.0,20418.0,5756.0,531904.0,90631.0,154880.0,4031.0,1024.0,3641.0,78413.0,531904.0,888.0,1011.0,888.0,15314.0,502756.0,497317.0,25117.0,333712.0,4031.0,-20418.0,-5756.0,20.0,52.140839610248804,1024.0,485.0,0.32621134772815236,0.5166015625,"[0.48834494613037405, 0.544858178869626]",519.0
9,c14000_t0.35,c14000_t0.4,524510.0,88530.0,151060.0,3976.0,1024.0,3278.0,77985.0,524510.0,890.0,1012.0,890.0,14826.0,495475.0,490123.0,25059.0,328960.0,3976.0,25851.0,3474.0,524510.0,88165.0,150446.0,3989.0,1024.0,3506.0,77968.0,524510.0,895.0,1014.0,895.0,14724.0,495429.0,490054.0,25092.0,329296.0,3989.0,-25851.0,-3474.0,13.0,52.12869196012616,1024.0,501.0,0.3359995901291388,0.50439453125,"[0.4752900516396137, 0.5334990108603863]",510.0
