match_index,a,b,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum,draws,evaluation_seconds,games,losses,paired_score_std,score,score_ci95,wins
0,c10000_greedy,c10000_t0.25,574642.0,103722.0,175179.0,4196.0,1024.0,4959.0,82374.0,574642.0,930.0,1014.0,930.0,19314.0,545326.0,539706.0,25120.0,359230.0,4196.0,-25672.0,-7553.0,574642.0,104186.0,176382.0,4204.0,1024.0,4864.0,82112.0,574642.0,934.0,1017.0,934.0,19301.0,545334.0,539737.0,25104.0,359036.0,4204.0,25672.0,7553.0,17.0,72.66293124109507,1024.0,530.0,0.32316066807520716,0.47412109375,"[0.44612872902342765, 0.5021134584765724]",477.0
1,c10000_greedy,c10000_t0.5,562742.0,100913.0,171880.0,4145.0,1024.0,4995.0,81563.0,562742.0,925.0,1019.0,925.0,18860.0,533457.0,527891.0,25140.0,350981.0,4145.0,11155.0,734.0,562742.0,100336.0,171316.0,4143.0,1024.0,4344.0,82436.0,562742.0,922.0,1020.0,922.0,20359.0,533470.0,527932.0,25129.0,350698.0,4143.0,-11155.0,-734.0,13.0,52.09780213609338,1024.0,504.0,0.3211654726378789,0.50146484375,"[0.47364530401080973, 0.5292843834891903]",507.0
2,c10000_greedy,c10000_t0.75,575913.0,104525.0,177938.0,4253.0,1024.0,4486.0,81762.0,575913.0,919.0,1014.0,919.0,18594.0,546544.0,540879.0,25116.0,360257.0,4252.0,72151.0,17306.0,575913.0,104226.0,171735.0,4250.0,1024.0,3869.0,82725.0,575913.0,924.0,1015.0,924.0,21236.0,546580.0,540954.0,25083.0,359629.0,4250.0,-72151.0,-17306.0,16.0,52.112761087715626,1024.0,445.0,0.3157651114654024,0.5576171875,"[0.5302654301815343, 0.5849689448184657]",563.0
3,c10000_greedy,c10000_t1,555170.0,98529.0,166376.0,4135.0,1024.0,5016.0,81687.0,555170.0,925.0,1018.0,925.0,18910.0,525951.0,520433.0,25084.0,345735.0,4135.0,28189.0,12844.0,555170.0,98299.0,164140.0,4165.0,1024.0,3523.0,82745.0,555170.0,926.0,1019.0,926.0,23158.0,525862.0,520270.0,25143.0,344818.0,4165.0,-28189.0,-12844.0,20.0,52.11673353239894,1024.0,462.0,0.3291464686904087,0.5390625,"[0.5105516417482123, 0.5675733582517877]",542.0
4,c10000_greedy,c12000_greedy,550225.0,96705.0,169734.0,4077.0,1024.0,5807.0,81891.0,550225.0,894.0,1015.0,894.0,19738.0,521028.0,515554.0,25120.0,342432.0,4077.0,-173470.0,-30690.0,550225.0,96417.0,169514.0,4492.0,1024.0,5556.0,79408.0,550225.0,907.0,1015.0,907.0,13961.0,520581.0,514653.0,25152.0,344756.0,4492.0,173470.0,30690.0,13.0,64.64807640016079,1024.0,597.0,0.32543385717953166,0.41064453125,"[0.3824552615631807, 0.4388338009368193]",414.0
5,c10000_greedy,c12000_t0.25,560219.0,99788.0,171435.0,4149.0,1024.0,5844.0,81846.0,560219.0,899.0,1017.0,899.0,20258.0,530971.0,525430.0,25099.0,349337.0,4149.0,-207176.0,-33647.0,560219.0,99802.0,176190.0,4540.0,1024.0,5466.0,79371.0,560219.0,904.0,1009.0,904.0,14377.0,530550.0,524575.0,25129.0,351377.0,4540.0,207176.0,33647.0,14.0,52.1667138338089,1024.0,599.0,0.34885567709020276,0.408203125,"[0.3779850436715764, 0.4384212063284236]",411.0
6,c10000_greedy,c12000_t0.5,572621.0,103606.0,179564.0,4294.0,1024.0,6075.0,82447.0,572621.0,915.0,1017.0,915.0,20477.0,543153.0,537438.0,25174.0,357100.0,4294.0,-198030.0,-34585.0,572621.0,103148.0,179800.0,4744.0,1024.0,5289.0,80158.0,572621.0,933.0,1015.0,933.0,15454.0,542753.0,536583.0,25124.0,359447.0,4744.0,198030.0,34585.0,13.0,52.133258540183306,1024.0,605.0,0.3250702857250195,0.40283203125,"[0.3746742543336948, 0.4309898081663052]",406.0
7,c10000_greedy,c12000_t0.75,578243.0,103938.0,179254.0,4242.0,1024.0,5993.0,82586.0,578243.0,916.0,1016.0,916.0,20859.0,548867.0,543206.0,25134.0,362343.0,4242.0,-220796.0,-34615.0,578243.0,104107.0,182608.0,4683.0,1024.0,4691.0,81100.0,578243.0,923.0,1016.0,923.0,16159.0,548442.0,542321.0,25118.0,363235.0,4683.0,220796.0,34615.0,17.0,52.10725747793913,1024.0,600.0,0.317200586678392,0.40576171875,"[0.37828561973501135, 0.43323781776498865]",407.0
8,c10000_greedy,c12000_t1,567280.0,100533.0,177084.0,4289.0,1024.0,5359.0,82534.0,567280.0,922.0,1014.0,922.0,19407.0,537854.0,532155.0,25137.0,354787.0,4289.0,-140655.0,-23339.0,567280.0,99906.0,176546.0,4769.0,1024.0,4076.0,81212.0,567280.0,926.0,1016.0,926.0,18066.0,537370.0,531158.0,25141.0,356252.0,4769.0,140655.0,23339.0,10.0,52.13617829233408,1024.0,573.0,0.3500782415801939,0.435546875,"[0.40522289442551584, 0.46587085557448416]",441.0
9,c10000_greedy,c14000_greedy,552539.0,96585.0,157430.0,3970.0,1024.0,5540.0,81633.0,552539.0,903.0,1018.0,903.0,18858.0,523303.0,517871.0,25266.0,345085.0,3970.0,-209004.0,-39561.0,552539.0,98166.0,169781.0,4241.0,1024.0,4157.0,78784.0,552539.0,923.0,1020.0,923.0,14633.0,523312.0,517745.0,24986.0,346362.0,4241.0,209004.0,39561.0,12.0,52.16898925602436,1024.0,624.0,0.329094316844651,0.384765625,"[0.35625928417137614, 0.41327196582862386]",388.0
10,c10000_greedy,c14000_t0.25,537790.0,93339.0,152726.0,3903.0,1024.0,4293.0,81374.0,537790.0,908.0,1015.0,908.0,18185.0,508619.0,503260.0,25268.0,333906.0,3903.0,-176434.0,-39434.0,537790.0,94347.0,160048.0,4224.0,1024.0,3671.0,78579.0,537790.0,916.0,1017.0,916.0,14687.0,508608.0,503055.0,24958.0,335682.0,4224.0,176434.0,39434.0,13.0,52.14841827005148,1024.0,623.0,0.3127223070710157,0.38525390625,"[0.3581657184151184, 0.4123420940848816]",388.0
11,c10000_greedy,c14000_t0.5,532467.0,91729.0,149238.0,3793.0,1024.0,4688.0,80726.0,532467.0,903.0,1013.0,903.0,18151.0,503396.0,498142.0,25278.0,330941.0,3793.0,-228483.0,-50847.0,532467.0,93555.0,160413.0,4100.0,1024.0,3266.0,78287.0,532467.0,904.0,1015.0,904.0,15012.0,503418.0,497992.0,24949.0,331576.0,4100.0,228483.0,50847.0,19.0,52.135639030486345,1024.0,658.0,0.30500619373501775,0.34814453125,"[0.3217247176329937, 0.3745643448670063]",347.0
12,c10000_greedy,c14000_t0.75,545671.0,94546.0,158139.0,3862.0,1024.0,5037.0,81109.0,545671.0,902.0,1014.0,902.0,17847.0,516503.0,511198.0,25306.0,340848.0,3861.0,-191795.0,-42351.0,545671.0,95893.0,166532.0,4224.0,1024.0,3283.0,78893.0,545671.0,912.0,1017.0,912.0,15975.0,516494.0,510949.0,24953.0,341708.0,4224.0,191795.0,42351.0,24.0,52.11958223953843,1024.0,628.0,0.3171528563001192,0.375,"[0.34752803541809413, 0.40247196458190587]",372.0
13,c10000_greedy,c14000_t1,539708.0,92643.0,151721.0,3775.0,1024.0,4598.0,80817.0,539708.0,907.0,1015.0,907.0,18457.0,510631.0,505377.0,25302.0,337171.0,3775.0,-201715.0,-42629.0,539708.0,93954.0,160943.0,4067.0,1024.0,2939.0,78843.0,539708.0,920.0,1017.0,920.0,16718.0,510663.0,505262.0,24978.0,337866.0,4067.0,201715.0,42629.0,18.0,52.159400310367346,1024.0,630.0,0.3217369526110778,0.3759765625,"[0.34810752083367547, 0.40384560416632453]",376.0
14,c10000_t0.25,c10000_t0.5,569111.0,102686.0,173666.0,4112.0,1024.0,4943.0,81977.0,569111.0,922.0,1018.0,922.0,19523.0,539859.0,534323.0,25140.0,355196.0,4112.0,37852.0,8567.0,569111.0,102114.0,169942.0,4106.0,1024.0,4566.0,82306.0,569111.0,925.0,1018.0,925.0,20041.0,539842.0,534293.0,25163.0,355422.0,4106.0,-37852.0,-8567.0,15.0,65.36008551344275,1024.0,479.0,0.33980690754413106,0.52490234375,"[0.49546807209423555, 0.5543366154057644]",530.0
