match_index,a,b,behavior_a_actions,behavior_a_attack_moves,behavior_a_build_opportunity_steps,behavior_a_builds,behavior_a_completed_games,behavior_a_dithers,behavior_a_expansion_moves,behavior_a_game_length_sum,behavior_a_games_with_build,behavior_a_games_with_build_opportunity,behavior_a_games_with_successful_build,behavior_a_half_moves,behavior_a_moves,behavior_a_moves_after_move,behavior_a_passes,behavior_a_reinforce_moves,behavior_a_successful_builds,behavior_a_terminal_army_margin_sum,behavior_a_terminal_land_margin_sum,behavior_b_actions,behavior_b_attack_moves,behavior_b_build_opportunity_steps,behavior_b_builds,behavior_b_completed_games,behavior_b_dithers,behavior_b_expansion_moves,behavior_b_game_length_sum,behavior_b_games_with_build,behavior_b_games_with_build_opportunity,behavior_b_games_with_successful_build,behavior_b_half_moves,behavior_b_moves,behavior_b_moves_after_move,behavior_b_passes,behavior_b_reinforce_moves,behavior_b_successful_builds,behavior_b_terminal_army_margin_sum,behavior_b_terminal_land_margin_sum,draws,evaluation_seconds,games,losses,paired_score_std,score,score_ci95,wins
0,c14000_greedy,c14000_t0.05,532743.0,92260.0,156502.0,4141.0,1024.0,4256.0,78015.0,532743.0,874.0,1001.0,874.0,14596.0,503516.0,498025.0,25086.0,333241.0,4140.0,34942.0,5813.0,532743.0,91572.0,158731.0,4132.0,1024.0,3991.0,78093.0,532743.0,872.0,1005.0,872.0,14760.0,503575.0,498095.0,25036.0,333910.0,4132.0,-34942.0,-5813.0,20.0,55.46825422346592,1024.0,483.0,0.2987563045209261,0.5185546875,"[0.49267624291599993, 0.544433132084]",521.0
1,c14000_greedy,c14000_t0.1,523063.0,88462.0,151006.0,3979.0,1024.0,4579.0,77450.0,523063.0,864.0,1005.0,864.0,14582.0,494030.0,488699.0,25054.0,328118.0,3979.0,4481.0,-1954.0,523063.0,88878.0,153349.0,3997.0,1024.0,4112.0,77958.0,523063.0,861.0,1005.0,861.0,15432.0,493959.0,488591.0,25107.0,327123.0,3997.0,-4481.0,1954.0,26.0,52.107055719941854,1024.0,506.0,0.3132056878441195,0.4931640625,"[0.4660340039418552, 0.5202941210581448]",492.0
2,c14000_greedy,c14000_t0.15,526401.0,89906.0,151072.0,4099.0,1024.0,3554.0,78160.0,526401.0,881.0,1004.0,881.0,14520.0,497237.0,491795.0,25065.0,329171.0,4099.0,42213.0,4259.0,526401.0,89377.0,151959.0,4057.0,1024.0,3873.0,78067.0,526401.0,875.0,1008.0,875.0,15033.0,497284.0,491864.0,25060.0,329840.0,4057.0,-42213.0,-4259.0,19.0,52.122060760855675,1024.0,487.0,0.3272165685547408,0.51513671875,"[0.4867930295686479, 0.5434804079313521]",518.0
3,c14000_greedy,c14000_t0.2,521766.0,88558.0,152248.0,4069.0,1024.0,4061.0,77784.0,521766.0,871.0,1005.0,871.0,14585.0,492612.0,487180.0,25085.0,326270.0,4069.0,4324.0,2141.0,521766.0,88388.0,151572.0,4041.0,1024.0,3817.0,77849.0,521766.0,876.0,1006.0,876.0,14577.0,492684.0,487278.0,25041.0,326447.0,4041.0,-4324.0,-2141.0,22.0,52.09821644052863,1024.0,492.0,0.332075765366506,0.5087890625,"[0.4800244668690998, 0.5375536581309003]",510.0
4,c14000_greedy,c14000_t0.25,533163.0,90219.0,157106.0,4042.0,1024.0,3771.0,78072.0,533163.0,877.0,1006.0,877.0,14973.0,504034.0,498633.0,25087.0,335743.0,4042.0,-9298.0,-100.0,533163.0,91235.0,155165.0,4033.0,1024.0,4151.0,78127.0,533163.0,877.0,1007.0,877.0,14938.0,504070.0,498662.0,25060.0,334708.0,4033.0,9298.0,100.0,18.0,52.09526203200221,1024.0,502.0,0.312498476044568,0.5009765625,"[0.47390776303860693, 0.5280453619613931]",504.0
5,c14000_t0.05,c14000_t0.1,526177.0,89949.0,157086.0,4018.0,1024.0,4374.0,77820.0,526177.0,870.0,1000.0,870.0,14819.0,497110.0,491730.0,25049.0,329341.0,4018.0,44944.0,5325.0,526177.0,88751.0,155034.0,4025.0,1024.0,4065.0,77821.0,526177.0,861.0,1002.0,861.0,15093.0,497096.0,491717.0,25056.0,330524.0,4025.0,-44944.0,-5325.0,14.0,53.71033700183034,1024.0,491.0,0.3090569618475763,0.513671875,"[0.48690118149682166, 0.5404425685031783]",519.0
6,c14000_t0.05,c14000_t0.15,527504.0,90077.0,154377.0,4026.0,1024.0,4806.0,77755.0,527504.0,867.0,1005.0,867.0,14909.0,498397.0,492997.0,25081.0,330565.0,4026.0,22375.0,5355.0,527504.0,89382.0,153938.0,4076.0,1024.0,4577.0,77774.0,527504.0,875.0,1005.0,875.0,15281.0,498349.0,492905.0,25079.0,331193.0,4076.0,-22375.0,-5355.0,18.0,52.101106736809015,1024.0,483.0,0.3138398924569004,0.51953125,"[0.49234625627001644, 0.5467162437299835]",523.0
7,c14000_t0.05,c14000_t0.2,516135.0,87668.0,151733.0,3959.0,1024.0,4018.0,77787.0,516135.0,853.0,1008.0,853.0,14510.0,487159.0,481859.0,25017.0,321704.0,3959.0,29918.0,1515.0,516135.0,87531.0,152039.0,3971.0,1024.0,3951.0,77886.0,516135.0,859.0,1005.0,859.0,15164.0,487100.0,481766.0,25064.0,321683.0,3970.0,-29918.0,-1515.0,16.0,52.09021362289786,1024.0,503.0,0.3258837424610696,0.5009765625,"[0.4727483234888476, 0.5292048015111525]",505.0
8,c14000_t0.05,c14000_t0.25,525870.0,90114.0,152515.0,3980.0,1024.0,4005.0,78155.0,525870.0,870.0,1005.0,870.0,15340.0,496826.0,491480.0,25064.0,328557.0,3980.0,752.0,-4489.0,525870.0,89920.0,154280.0,3998.0,1024.0,4002.0,77796.0,525870.0,875.0,1005.0,875.0,15406.0,496801.0,491432.0,25071.0,329085.0,3997.0,-752.0,4489.0,14.0,52.079037606716156,1024.0,524.0,0.3275999675453422,0.4814453125,"[0.453068413075444, 0.509822211924556]",486.0
9,c14000_t0.1,c14000_t0.15,520669.0,87626.0,151263.0,4006.0,1024.0,4404.0,77389.0,520669.0,861.0,1007.0,861.0,14797.0,491565.0,486182.0,25098.0,326550.0,4006.0,9410.0,-1940.0,520669.0,87656.0,152638.0,3995.0,1024.0,3882.0,77913.0,520669.0,862.0,1006.0,862.0,14883.0,491581.0,486202.0,25093.0,326012.0,3995.0,-9410.0,1940.0,16.0,52.09229002892971,1024.0,510.0,0.3284445452336944,0.494140625,"[0.46569056776563655, 0.5225906822343634]",498.0
