=== TOP CUMULATIVE ===
Wed Jul 29 04:04:00 2026    /home/dev/profile_tmp.pstats

         38825690 function calls (38102881 primitive calls) in 579.168 seconds

   Ordered by: cumulative time
   List reduced from 8741 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1677/1    0.075    0.000  579.441  579.441 {built-in method builtins.exec}
        1    0.000    0.000  579.441  579.441 <string>:1(<module>)
        1    0.000    0.000  579.441  579.441 <frozen runpy>:201(run_module)
        1    0.000    0.000  573.358  573.358 <frozen runpy>:65(_run_code)
        1    0.000    0.000  573.358  573.358 /home/dev/generals-bots/generals/training/train.py:1(<module>)
        1    0.070    0.070  573.301  573.301 /home/dev/generals-bots/generals/training/train.py:546(main)
        1    0.448    0.448  573.229  573.229 /home/dev/generals-bots/generals/training/train.py:140(train)
38137/973    0.056    0.000  460.080    0.473 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/traceback_util.py:191(reraise_with_filtered_traceback)
35908/2008    0.162    0.000  459.061    0.229 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:250(cache_miss)
10440/8170    0.167    0.000  451.939    0.055 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/profiler.py:417(wrapper)
35908/19003    0.190    0.000  451.141    0.024 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:130(_run_python_pjit)
  439/411    0.018    0.000  440.388    1.072 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:1137(_pjit_call_impl_python)
      439    0.009    0.000  384.438    0.876 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:1209(compile)
      439    0.056    0.000  384.429    0.876 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:1686(from_hlo)
      439    0.016    0.000  384.059    0.875 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:1499(_cached_compilation)
      439    0.017    0.000  383.843    0.874 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/compiler.py:387(compile_or_get_cached)
      439    0.009    0.000  382.944    0.872 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/compiler.py:727(_compile_and_write_cache)
      439  382.904    0.872  382.905    0.872 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/compiler.py:292(backend_compile_and_load)
155483/32471    1.231    0.000  324.802    0.010 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/core.py:660(bind)
156358/54867    0.377    0.000  320.522    0.006 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/core.py:709(bind_with_trace)
13309/13297    0.122    0.000  308.277    0.023 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/core.py:1285(process_primitive)
        2    0.002    0.001  302.541  151.271 /home/dev/generals-bots/generals/core/env.py:201(reset)
       34    0.012    0.000  294.161    8.652 /home/dev/generals-bots/generals/core/env.py:185(_make_single_state_fixed)
 3382/202    0.011    0.000  291.943    1.445 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/linear_util.py:210(call_wrapped)
   596/70    0.019    0.000  288.779    4.125 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/api.py:1146(vmap_f)
   596/70    0.011    0.000  288.632    4.123 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:336(_batch_outer)
   596/70    0.020    0.000  288.624    4.123 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:344(_batch_inner)
   596/70    0.003    0.000  287.205    4.103 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:118(flatten_fun_for_vmap)
37523/8808    0.378    0.000  283.675    0.032 /home/dev/generals-bots/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:255(process_primitive)
       32    0.000    0.000  281.860    8.808 /home/dev/generals-bots/generals/core/env.py:235(<lambda>)


=== TOP SELF TIME ===
Wed Jul 29 04:04:00 2026    /home/dev/profile_tmp.pstats

         38825690 function calls (38102881 primitive calls) in 579.168 seconds

   Ordered by: internal time
   List reduced from 8741 to 25 due to restriction <25>

