Sat Aug  1 23:33:16 2026    /home/dev/generals-d384-smoke-artifacts/phase_profile.pstats

         40112797 function calls (39369559 primitive calls) in 181.480 seconds

   Ordered by: cumulative time
   List reduced from 8850 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1707/1    0.053    0.000  181.669  181.669 {built-in method builtins.exec}
        1    0.000    0.000  181.669  181.669 <string>:1(<module>)
        1    0.000    0.000  181.669  181.669 <frozen runpy>:201(run_module)
        1    0.000    0.000  178.978  178.978 <frozen runpy>:65(_run_code)
        1    0.000    0.000  178.978  178.978 /home/dev/generals-d384-smoke-src/generals/training/train.py:1(<module>)
        1    0.020    0.020  178.870  178.870 /home/dev/generals-d384-smoke-src/generals/training/train.py:918(main)
        1    0.049    0.049  178.847  178.847 /home/dev/generals-d384-smoke-src/generals/training/train.py:445(train)
       49   83.935    1.713  117.572    2.399 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pmap.py:315(wrapped)
40063/866    0.045    0.000   91.646    0.106 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/traceback_util.py:191(reraise_with_filtered_traceback)
37870/713    0.150    0.000   91.225    0.128 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:250(cache_miss)
37870/21037    0.179    0.000   81.795    0.004 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:130(_run_python_pjit)
      418    0.011    0.000   72.677    0.174 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:1137(_pjit_call_impl_python)
5475/3151    0.043    0.000   70.806    0.022 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/profiler.py:417(wrapper)
151733/46048    0.985    0.000   41.828    0.001 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/core.py:660(bind)
152930/74389    0.288    0.000   37.423    0.001 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/core.py:709(bind_with_trace)
      418    0.006    0.000   36.217    0.087 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:1209(compile)
      418    0.037    0.000   36.210    0.087 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:1686(from_hlo)
      418    0.011    0.000   35.946    0.086 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:1499(_cached_compilation)
      418    0.013    0.000   35.764    0.086 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/compiler.py:387(compile_or_get_cached)
 4141/698    0.008    0.000   31.545    0.045 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/linear_util.py:210(call_wrapped)
        2    0.002    0.001   30.933   15.467 /home/dev/generals-d384-smoke-src/generals/core/env.py:223(reset)
      380    0.005    0.000   27.896    0.073 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/compiler.py:727(_compile_and_write_cache)
      380   27.875    0.073   27.876    0.073 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/compiler.py:292(backend_compile_and_load)
  691/223    0.017    0.000   25.751    0.115 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/api.py:1146(vmap_f)
  691/223    0.008    0.000   25.555    0.115 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:336(_batch_outer)
  691/223    0.018    0.000   25.547    0.115 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:344(_batch_inner)
  691/223    0.003    0.000   25.452    0.114 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:118(flatten_fun_for_vmap)
